Name,Overall,Potential,Value,Wage,AbilityScore,CostScore,Cluster
 A. Kolarov,80,80,10000000.0,120000.0,80.0,5060000.0,1
 M. Dembélé,82,82,19000000.0,110000.0,82.0,9555000.0,2
 Adrien Silva,83,83,23000000.0,20000.0,83.0,11510000.0,2
 A. Sánchez,88,88,55000000.0,275000.0,88.0,27637500.0,2
 Alex Sandro,84,87,29500000.0,140000.0,85.5,14820000.0,2
 S. Khedira,84,84,26500000.0,170000.0,84.0,13335000.0,2
 B. Matuidi,85,85,25000000.0,120000.0,85.0,12560000.0,2
 Thiago,86,88,46000000.0,170000.0,87.0,23085000.0,2
 M. Hamšik,86,86,37500000.0,130000.0,86.0,18815000.0,2
 M. Pjanić,85,86,37500000.0,160000.0,85.5,18830000.0,2
 Fernandinho,82,82,13000000.0,130000.0,82.0,6565000.0,1
 Paulinho,81,81,0.0,0.0,81.0,0.0,1
 L. Goretzka,81,87,23000000.0,30000.0,84.0,11515000.0,2
 J. Milner,80,80,10000000.0,110000.0,80.0,5055000.0,1
 K. Strootman,84,85,32500000.0,100000.0,84.5,16300000.0,2
 W. Cyprien,78,86,12500000.0,30000.0,82.0,6265000.0,1
 G. Wijnaldum,81,84,20500000.0,110000.0,82.5,10305000.0,2
 Pizzi,82,82,20500000.0,20000.0,82.0,10260000.0,2
 A. Turan,84,84,26500000.0,225000.0,84.0,13362500.0,2
 J. Seri,81,84,21000000.0,40000.0,82.5,10520000.0,2
 M. Reus,88,88,52000000.0,140000.0,88.0,26070000.0,2
 G. Castro,82,82,18500000.0,70000.0,82.0,9285000.0,2
 Adriano,78,78,5500000.0,60000.0,78.0,2780000.0,1
 W. Rooney,82,82,18500000.0,130000.0,82.0,9315000.0,2
 K. Boateng,80,80,14000000.0,30000.0,80.0,7015000.0,1
 H. Mkhitaryan,86,86,39000000.0,200000.0,86.0,19600000.0,2
 M. Sissoko,79,79,10500000.0,100000.0,79.0,5300000.0,1
 K. Asamoah,80,80,14000000.0,110000.0,80.0,7055000.0,1
 Alex Telles,80,84,15500000.0,20000.0,82.0,7760000.0,2
 M. Parolo,81,81,14000000.0,60000.0,81.0,7030000.0,1
 I. Gündoğan,85,87,39000000.0,180000.0,86.0,19590000.0,2
 L. Stindl,81,81,17000000.0,50000.0,81.0,8525000.0,2
 L. Messi,93,93,89000000.0,575000.0,93.0,44787500.0,2
 K. Walker,82,83,19000000.0,100000.0,82.5,9550000.0,2
 A. Dzagoev,81,82,19000000.0,70000.0,81.5,9535000.0,2
 J. Geis,78,82,9500000.0,30000.0,80.0,4765000.0,1
 J. Kucka,79,79,9500000.0,70000.0,79.0,4785000.0,1
 M. Verratti,86,90,50500000.0,130000.0,88.0,25315000.0,2
 S. Aurier,82,87,22500000.0,70000.0,84.5,11285000.0,2
 P. Hetemaj,77,77,6500000.0,20000.0,77.0,3260000.0,1
 R. Guerreiro,80,85,19000000.0,60000.0,82.5,9530000.0,2
 Bruno César,77,77,7000000.0,15000.0,77.0,3507500.0,1
 N. Kanté,83,86,28500000.0,140000.0,84.5,14320000.0,2
 A. Lallana,83,83,22500000.0,130000.0,83.0,11315000.0,2
 M. Layún,79,79,8000000.0,20000.0,79.0,4010000.0,1
 Sergio Ramos,89,89,43500000.0,300000.0,89.0,21900000.0,2
 Thiago Silva,89,89,39500000.0,170000.0,89.0,19835000.0,2
 A. Di María,86,86,39000000.0,170000.0,86.0,19585000.0,2
 A. Witsel,82,82,0.0,0.0,82.0,0.0,1
 C. Fuchs,77,77,4800000.0,60000.0,77.0,2430000.0,1
 E. Can,79,85,14000000.0,100000.0,82.0,7050000.0,1
 L. Piszczek,83,83,14500000.0,70000.0,83.0,7285000.0,1
 Manuel Fernandes,79,79,9500000.0,60000.0,79.0,4780000.0,1
 S. Lulić,78,78,7500000.0,50000.0,78.0,3775000.0,1
 Santi Cazorla,85,85,28500000.0,160000.0,85.0,14330000.0,2
 K. De Bruyne,88,91,65500000.0,275000.0,89.5,32887500.0,2
 N. Matić,84,84,24000000.0,170000.0,84.0,12085000.0,2
 Y. Belhanda,80,80,15000000.0,50000.0,80.0,7525000.0,1
 L. Kurzawa,80,85,16000000.0,70000.0,82.5,8035000.0,2
 I. Rakitić,87,87,43500000.0,275000.0,87.0,21887500.0,2
 Filipe Luís,85,85,23500000.0,80000.0,85.0,11790000.0,2
 B. Trémoulinas,81,81,11500000.0,20000.0,81.0,5760000.0,1
 Y. Cabaye,80,80,12500000.0,80000.0,80.0,6290000.0,1
 B. Schweinsteiger,81,81,14000000.0,15000.0,81.0,7007500.0,1
 Miguel Veloso,79,79,7500000.0,40000.0,79.0,3770000.0,1
 Koke,84,88,37000000.0,80000.0,86.0,18540000.0,2
 Renato Sanches,77,88,10000000.0,50000.0,82.5,5025000.0,1
 O. Özyakup,80,85,19000000.0,70000.0,82.5,9535000.0,2
 J. Wilshere,82,85,25000000.0,70000.0,83.5,12535000.0,2
 Danilo,78,81,9000000.0,100000.0,79.5,4550000.0,1
 Casemiro,84,88,32500000.0,170000.0,86.0,16335000.0,2
 Gazzolisco,77,77,5500000.0,20000.0,77.0,2760000.0,1
 Raúl García,81,81,16000000.0,30000.0,81.0,8015000.0,2
 A. Ramsey,83,85,27500000.0,120000.0,84.0,13810000.0,2
 S. Sessègnon,77,77,5500000.0,30000.0,77.0,2765000.0,1
 J. Cuadrado,83,83,22500000.0,130000.0,83.0,11315000.0,2
 David Luiz,84,84,22000000.0,180000.0,84.0,11090000.0,2
 A. Ayew,80,80,14500000.0,120000.0,80.0,7310000.0,1
 Gabi,82,82,15000000.0,70000.0,82.0,7535000.0,1
 L. Biglia,82,82,14500000.0,60000.0,82.0,7280000.0,1
 Eliseu,77,77,3900000.0,15000.0,77.0,1957500.0,1
 T. Lemar,80,88,21000000.0,50000.0,84.0,10525000.0,2
 T. Delaney,78,81,10500000.0,30000.0,79.5,5265000.0,1
 R. Lewandowski,90,90,71000000.0,250000.0,90.0,35625000.0,2
 Manu Trigueros,82,85,25000000.0,40000.0,83.5,12520000.0,2
 J. Kimmich,80,87,20000000.0,80000.0,83.5,10040000.0,2
 Bruno Peres,79,79,10500000.0,70000.0,79.0,5285000.0,1
 Maurício,76,77,4900000.0,60000.0,76.5,2480000.0,1
 M. Höger,79,79,10500000.0,40000.0,79.0,5270000.0,1
 Jorginho,81,84,21000000.0,60000.0,82.5,10530000.0,2
 D. De Rossi,83,83,13500000.0,70000.0,83.0,6785000.0,1
 Cesc Fàbregas,86,86,36000000.0,225000.0,86.0,18112500.0,2
 Z. Ibrahimović,90,90,36500000.0,300000.0,90.0,18400000.0,2
 J. Rodríguez,87,90,58000000.0,225000.0,88.5,29112500.0,2
 X. Shaqiri,82,85,25000000.0,80000.0,83.5,12540000.0,2
 M. Brozović,81,84,21000000.0,60000.0,82.5,10530000.0,2
 João Cancelo,79,86,12000000.0,30000.0,82.5,6015000.0,1
 André André,79,79,10500000.0,30000.0,79.0,5265000.0,1
 Cédric,79,82,11000000.0,60000.0,80.5,5530000.0,1
 Y. Rakitskyi,80,82,14000000.0,2000.0,81.0,7001000.0,1
 R. Soriano,80,81,16500000.0,40000.0,80.5,8270000.0,2
 João Mário,83,88,31000000.0,70000.0,85.5,15535000.0,2
 Jefferson,74,74,2700000.0,10000.0,74.0,1355000.0,1
 S. Umtiti,83,88,27000000.0,130000.0,85.5,13565000.0,2
 J. Holebas,77,77,3900000.0,50000.0,77.0,1975000.0,1
 E. Pérez,78,78,7500000.0,30000.0,78.0,3765000.0,1
 R. Vormer,78,78,8000000.0,30000.0,78.0,4015000.0,1
 Ricardo Pereira,79,85,12000000.0,30000.0,82.0,6015000.0,1
 P. Mamaev,79,79,10500000.0,60000.0,79.0,5280000.0,1
 S. Corchia,78,81,8500000.0,40000.0,79.5,4270000.0,1
 T. Vilhena,77,83,9500000.0,15000.0,80.0,4757500.0,1
 D. Wass,80,80,14000000.0,30000.0,80.0,7015000.0,1
 E. Banega,84,84,28500000.0,110000.0,84.0,14305000.0,2
 Beñat,82,82,18500000.0,40000.0,82.0,9270000.0,2
 M. Bradley,78,78,6500000.0,10000.0,78.0,3255000.0,1
 H. Saivet,77,80,8500000.0,40000.0,78.5,4270000.0,1
 T. Kroos,88,89,59500000.0,325000.0,88.5,29912500.0,2
 T. Meunier,79,82,11000000.0,70000.0,80.5,5535000.0,1
 Y. Tielemans,79,90,15500000.0,20000.0,84.5,7760000.0,2
 D. Kombarov,75,75,3000000.0,40000.0,75.0,1520000.0,1
 J. Willems,77,82,8000000.0,20000.0,79.5,4010000.0,1
 E. Badu,75,78,5000000.0,20000.0,76.5,2510000.0,1
 De Marcos,81,81,13500000.0,30000.0,81.0,6765000.0,1
 Roberto Firmino,83,87,31500000.0,120000.0,85.0,15810000.0,2
 M. Krohn-Dehli,81,81,10500000.0,20000.0,81.0,5260000.0,1
 J. Pied,75,75,3300000.0,50000.0,75.0,1675000.0,1
 A. Griezmann,88,91,66500000.0,140000.0,89.5,33320000.0,2
 Allan,80,82,17000000.0,70000.0,81.0,8535000.0,2
 D. Basta,80,80,9000000.0,50000.0,80.0,4525000.0,1
 D. Klaassen,81,84,21000000.0,20000.0,82.5,10510000.0,2
 S. Sturaro,77,82,9000000.0,80000.0,79.5,4540000.0,1
 A. Candreva,81,81,16000000.0,80000.0,81.0,8040000.0,2
 Jonathan Viera,82,82,20500000.0,30000.0,82.0,10265000.0,2
 D. Rose,81,82,16000000.0,90000.0,81.5,8045000.0,2
 M. Díaz,80,80,13000000.0,30000.0,80.0,6515000.0,1
 Azpilicueta,83,83,20000000.0,130000.0,83.0,10065000.0,2
 A. Rabiot,81,88,23500000.0,70000.0,84.5,11785000.0,2
 A. Guardado,80,80,13000000.0,30000.0,80.0,6515000.0,1
 Douglas Costa,83,83,24500000.0,110000.0,83.0,12305000.0,2
 F. Belluschi,80,80,11000000.0,30000.0,80.0,5515000.0,1
 Mariano,79,79,7000000.0,20000.0,79.0,3510000.0,1
 Y. Zhirkov,77,77,3900000.0,60000.0,77.0,1980000.0,1
 Neymar,92,94,106000000.0,450000.0,93.0,53225000.0,2
 M. Arnautović,82,82,20000000.0,90000.0,82.0,10045000.0,2
 L. Schøne,79,79,9000000.0,20000.0,79.0,4510000.0,1
 L. Holtby,77,78,8000000.0,50000.0,77.5,4025000.0,1
 M. Ekici,77,78,8000000.0,30000.0,77.5,4015000.0,1
 Borja Valero,83,83,20000000.0,80000.0,83.0,10040000.0,2
 Mario Gaspar,81,84,17000000.0,40000.0,82.5,8520000.0,2
 R. Pereyra,81,84,20500000.0,60000.0,82.5,10280000.0,2
 V. Wanyama,80,84,15500000.0,90000.0,82.0,7795000.0,2
 Andeson Trigo,75,75,3100000.0,20000.0,75.0,1560000.0,1
 S. Lichtsteiner,83,83,13000000.0,110000.0,83.0,6555000.0,1
 Fabinho,81,86,19500000.0,50000.0,83.5,9775000.0,2
 L. Bacuna,73,76,3100000.0,30000.0,74.5,1565000.0,1
 D. Baselli,79,84,13500000.0,50000.0,81.5,6775000.0,1
 S. Defour,77,77,6500000.0,50000.0,77.0,3275000.0,1
 André Gomes,83,89,31500000.0,150000.0,86.0,15825000.0,2
 E. Giaccherini,78,78,7000000.0,70000.0,78.0,3535000.0,1
 B. Džemaili,78,78,7500000.0,10000.0,78.0,3755000.0,1
 Danilo,76,83,7500000.0,20000.0,79.5,3760000.0,1
 G. Sigurðsson,82,82,21000000.0,90000.0,82.0,10545000.0,2
 V. Darida,79,80,11500000.0,40000.0,79.5,5770000.0,1
 S. Milinković-Savić,79,86,14000000.0,50000.0,82.5,7025000.0,1
 M. Benassi,79,86,14000000.0,50000.0,82.5,7025000.0,1
 A. Lacazette,85,88,42000000.0,70000.0,86.5,21035000.0,2
 C. Jallet,77,77,3900000.0,40000.0,77.0,1970000.0,1
 Anderson Talisca,78,83,11500000.0,60000.0,80.5,5780000.0,1
 Rafael,79,80,9500000.0,40000.0,79.5,4770000.0,1
 M. Pereira,79,79,5500000.0,20000.0,79.0,2760000.0,1
 L. Fer,77,78,8000000.0,70000.0,77.5,4035000.0,1
 I. Perišić,84,84,28500000.0,100000.0,84.0,14300000.0,2
 D. Pabón,78,78,8500000.0,70000.0,78.0,4285000.0,1
 E. Hazard,89,90,71500000.0,300000.0,89.5,35900000.0,2
 N. Amrabat,80,80,13000000.0,70000.0,80.0,6535000.0,1
 D. Sidibé,79,84,11500000.0,50000.0,81.5,5775000.0,1
 S. Coleman,82,82,16000000.0,100000.0,82.0,8050000.0,2
 E. Cavani,86,86,38500000.0,170000.0,86.0,19335000.0,2
 M. Acuña,79,82,13000000.0,20000.0,80.5,6510000.0,1
 F. Delph,78,79,9500000.0,110000.0,78.5,4805000.0,1
 D. Blind,81,82,16000000.0,110000.0,81.5,8055000.0,2
 N. Asare,75,75,3100000.0,15000.0,75.0,1557500.0,1
 D. Glushakov,78,78,6500000.0,50000.0,78.0,3275000.0,1
 L. Paredes,77,84,8500000.0,50000.0,80.5,4275000.0,1
 B. Natcho,76,76,4099999.9999999995,60000.0,76.0,2079999.9999999998,1
 Iniesta,88,88,39500000.0,325000.0,88.0,19912500.0,2
 M. Risse,77,77,7000000.0,30000.0,77.0,3515000.0,1
 D. Zappacosta,79,84,11500000.0,40000.0,81.5,5770000.0,1
 M. Debuchy,79,79,7000000.0,110000.0,79.0,3555000.0,1
 M. Antonio,80,81,17000000.0,130000.0,80.5,8565000.0,2
 J. Beausejour,75,75,2300000.0,10000.0,75.0,1155000.0,1
 Isco,85,89,43000000.0,190000.0,87.0,21595000.0,2
 Rafinha,80,85,19000000.0,140000.0,82.5,9570000.0,2
 T. Müller,86,86,41500000.0,190000.0,86.0,20845000.0,2
 P. Aubameyang,87,87,47500000.0,120000.0,87.0,23810000.0,2
 Vieirinha,79,79,9000000.0,70000.0,79.0,4535000.0,1
 Bruno,84,84,22000000.0,60000.0,84.0,11030000.0,2
 B. Dabo,74,79,4500000.0,30000.0,76.5,2265000.0,1
 D. Payet,85,85,31000000.0,80000.0,85.0,15540000.0,2
 V. Koziello,78,85,12000000.0,30000.0,81.5,6015000.0,1
 L. Zuffi,75,77,4099999.9999999995,20000.0,76.0,2059999.9999999998,1
 M. Schneiderlin,82,83,19000000.0,100000.0,82.5,9550000.0,2
 Juanfran,83,83,14500000.0,60000.0,83.0,7280000.0,1
 J. Pastore,83,83,23000000.0,100000.0,83.0,11550000.0,2
 A. González,74,74,0.0,0.0,74.0,0.0,3
 S. Larsson,75,75,3400000.0,40000.0,75.0,1720000.0,1
 A. Robben,87,87,34000000.0,170000.0,87.0,17085000.0,2
 Parejo,81,81,16500000.0,40000.0,81.0,8270000.0,2
 L. Dendoncker,78,85,10500000.0,20000.0,81.5,5260000.0,1
 E. Polański,77,77,5000000.0,40000.0,77.0,2520000.0,1
 C. Aránguiz,78,78,8500000.0,50000.0,78.0,4275000.0,1
 Bernat,79,83,11000000.0,80000.0,81.0,5540000.0,1
 Marcos Alonso,79,82,10500000.0,110000.0,80.5,5305000.0,1
 T. Rincón,77,77,6500000.0,100000.0,77.0,3300000.0,1
 M. Rojo,83,84,22500000.0,120000.0,83.5,11310000.0,2
 S. Rudy,79,80,11500000.0,60000.0,79.5,5780000.0,1
 R. Karsdorp,78,84,10000000.0,15000.0,81.0,5007500.0,1
 F. Ghoulam,79,82,10500000.0,60000.0,80.5,5280000.0,1
 F. Tabanou,73,73,2300000.0,20000.0,73.0,1160000.0,1
 D. Alli,82,90,30000000.0,90000.0,86.0,15045000.0,2
 B. Zungu,75,80,5500000.0,10000.0,77.5,2755000.0,1
 Iborra,82,82,16000000.0,20000.0,82.0,8010000.0,2
 A. Hutchinson,80,80,6500000.0,70000.0,80.0,3285000.0,1
 K. Mirallas,82,82,19000000.0,110000.0,82.0,9555000.0,2
 Saúl,80,88,21000000.0,50000.0,84.0,10525000.0,2
 M. Rybus,73,73,2400000.0,30000.0,73.0,1215000.0,1
 E. Lamela,81,84,21000000.0,90000.0,82.5,10545000.0,2
 M. Mandžukić,83,83,22000000.0,130000.0,83.0,11065000.0,2
 C. Borges,78,78,6500000.0,30000.0,78.0,3265000.0,1
 C. Gardner,73,73,2700000.0,20000.0,73.0,1360000.0,1
 D. Didavi,80,81,16500000.0,70000.0,80.5,8285000.0,2
 Renato Augusto,80,80,0.0,0.0,80.0,0.0,1
 M. Lemina,77,83,9500000.0,80000.0,80.0,4790000.0,1
 J. Vertonghen,83,83,17500000.0,100000.0,83.0,8800000.0,2
 S. Taïder,75,80,5500000.0,40000.0,77.5,2770000.0,1
 P. Hernández,80,80,13000000.0,30000.0,80.0,6515000.0,1
 F. Johnson,79,79,10000000.0,50000.0,79.0,5025000.0,1
 M. Velázquez,75,75,625000.0,10000.0,75.0,317500.0,1
 Joãozinho,78,78,8500000.0,50000.0,78.0,4275000.0,1
 I. Smolnikov,81,81,13500000.0,70000.0,81.0,6785000.0,1
 H. Ben Arfa,83,83,22500000.0,100000.0,83.0,11300000.0,2
 Everticinho,77,77,5500000.0,30000.0,77.0,2765000.0,1
 S. Agüero,89,89,61500000.0,325000.0,89.0,30912500.0,2
 Sergi Roberto,80,85,16000000.0,120000.0,82.5,8060000.0,2
 V. Behrami,77,77,4500000.0,50000.0,77.0,2275000.0,1
 M. Plattenhardt,77,80,7500000.0,20000.0,78.5,3760000.0,1
 Badou Ndiaye,77,80,8500000.0,30000.0,78.5,4265000.0,1
 K. Volland,80,84,19000000.0,60000.0,82.0,9530000.0,2
 E. Insúa,76,76,4200000.0,30000.0,76.0,2115000.0,1
 J. Gondorf,75,75,3900000.0,30000.0,75.0,1965000.0,1
 O. Trejo,77,77,7000000.0,30000.0,77.0,3515000.0,1
 F. Frei,76,76,5000000.0,30000.0,76.0,2515000.0,1
 Gayà,79,84,11500000.0,30000.0,81.5,5765000.0,1
 Campaña,77,82,8000000.0,10000.0,79.5,4005000.0,1
 O. Onazi,75,78,4400000.0,20000.0,76.5,2210000.0,1
 J. Hector,81,82,16000000.0,30000.0,81.5,8015000.0,2
 A. Fernández,81,81,15000000.0,60000.0,81.0,7530000.0,1
 J. McCarthy,81,84,17500000.0,90000.0,82.5,8795000.0,2
 P. Dybala,86,93,56500000.0,180000.0,89.5,28340000.0,2
 O. Tufan,76,82,6000000.0,40000.0,79.0,3020000.0,1
 D. Criscito,79,79,7500000.0,70000.0,79.0,3785000.0,1
 M. van Ginkel,77,83,9500000.0,20000.0,80.0,4760000.0,1
 P. Zabaleta,80,80,9000000.0,120000.0,80.0,4560000.0,1
 A. Christiansen,74,75,3800000.0,8000.0,74.5,1904000.0,1
 C. Maggio,75,75,1200000.0,50000.0,75.0,625000.0,1
 A. Regattin,76,77,6000000.0,30000.0,76.5,3015000.0,1
 N. Clyne,82,85,20500000.0,110000.0,83.5,10305000.0,2
 O. Yokuşlu,75,80,4700000.0,20000.0,77.5,2360000.0,1
 A. Boka,75,75,1700000.0,20000.0,75.0,860000.0,1
 Juanfran,78,78,7000000.0,20000.0,78.0,3510000.0,1
 Marlos,82,82,19000000.0,3000.0,82.0,9501500.0,2
 A. Büttner,73,73,2300000.0,10000.0,73.0,1155000.0,1
 G. Sertic,76,77,5000000.0,40000.0,76.5,2520000.0,1
 S. Özbayraklı,77,78,6500000.0,50000.0,77.5,3275000.0,1
 J. Vardy,81,81,16500000.0,90000.0,81.0,8295000.0,2
 T. Arslan,77,78,8000000.0,60000.0,77.5,4030000.0,1
 Fábio Coentrão,77,77,5500000.0,120000.0,77.0,2810000.0,1
 A. Ioniţă,75,76,4700000.0,40000.0,75.5,2370000.0,1
 J. dos Santos,80,81,16000000.0,15000.0,80.5,8007500.0,2
 E. Schelotto,77,77,5500000.0,15000.0,77.0,2757500.0,1
 G. Donsah,75,83,6000000.0,40000.0,79.0,3020000.0,1
 A. Tettey,73,73,2100000.0,40000.0,73.0,1070000.0,1
 I. Denisov,79,79,6000000.0,50000.0,79.0,3025000.0,1
 L. Digne,79,84,11500000.0,120000.0,81.5,5810000.0,1
 D. Drinkwater,80,81,16000000.0,80000.0,80.5,8040000.0,2
 V. Odjidja-Ofoe,77,77,7000000.0,15000.0,77.0,3507500.0,1
 R. Pizarro,74,81,4700000.0,30000.0,77.5,2365000.0,1
 J. Dueñas,75,75,3400000.0,50000.0,75.0,1725000.0,1
 C. Sánchez,78,78,7000000.0,60000.0,78.0,3530000.0,1
 Mário Fernandes,80,81,13500000.0,60000.0,80.5,6780000.0,1
 M. Diamé,74,74,3200000.0,40000.0,74.0,1620000.0,1
 T. Mangani,76,76,4900000.0,30000.0,76.0,2465000.0,1
 M. Topal,80,80,10000000.0,60000.0,80.0,5030000.0,1
 Raffael,82,82,17000000.0,50000.0,82.0,8525000.0,2
 Escudero,79,79,8500000.0,20000.0,79.0,4260000.0,1
 M. Jensen,74,74,3200000.0,10000.0,74.0,1605000.0,1
 R. Brady,76,78,6500000.0,40000.0,77.0,3270000.0,1
 Y. Ayoub,76,82,7000000.0,15000.0,79.0,3507500.0,1
 J. Zúñiga,73,73,2000000.0,40000.0,73.0,1020000.0,1
 Felipe Anderson,81,86,23000000.0,60000.0,83.5,11530000.0,2
 M. Wakaso,75,75,4300000.0,20000.0,75.0,2160000.0,1
 C. N'Doye,78,78,7500000.0,30000.0,78.0,3765000.0,1
 Melvin Parrela,75,75,3200000.0,30000.0,75.0,1615000.0,1
 D. Janmaat,77,77,6000000.0,50000.0,77.0,3025000.0,1
 P. Evra,82,82,3000000.0,40000.0,82.0,1520000.0,1
 C. Eriksen,86,90,52000000.0,150000.0,88.0,26075000.0,2
 J. Lerma,75,83,5500000.0,9000.0,79.0,2754500.0,1
 Bruno Fernandes,77,84,10000000.0,30000.0,80.5,5015000.0,1
 T. Al Jassim,74,74,2200000.0,30000.0,74.0,1115000.0,1
 P. Lasne,75,75,4099999.9999999995,30000.0,75.0,2064999.9999999998,1
 A. Bertolacci,77,80,8500000.0,50000.0,78.5,4275000.0,1
 A. Schürrle,81,82,19000000.0,60000.0,81.5,9530000.0,2
 D. Sinkgraven,75,80,4600000.0,10000.0,77.5,2305000.0,1
 S. İnan,78,78,7000000.0,40000.0,78.0,3520000.0,1
 E. Mas,77,77,5500000.0,30000.0,77.0,2765000.0,1
 K. Rausch,74,74,3500000.0,30000.0,74.0,1765000.0,1
 P. Batalla,79,79,8000000.0,30000.0,79.0,4015000.0,1
 P. Schwegler,76,76,4000000.0,50000.0,76.0,2025000.0,1
 D. Aogo,75,75,3100000.0,30000.0,75.0,1565000.0,1
 Taison,82,82,19000000.0,3000.0,82.0,9501500.0,2
 S. de Jong,76,76,5500000.0,20000.0,76.0,2760000.0,1
 A. Najar,74,79,3800000.0,15000.0,76.5,1907500.0,1
 E. Albayrak,74,77,3400000.0,15000.0,75.5,1707500.0,1
 A. Martial,82,90,29000000.0,100000.0,86.0,14550000.0,2
 Grimaldo,78,87,11500000.0,10000.0,82.5,5755000.0,1
 Victor Sánchez,77,77,5500000.0,30000.0,77.0,2765000.0,1
 Lucas,82,85,26000000.0,90000.0,83.5,13045000.0,2
 J. Puncheon,74,74,3000000.0,60000.0,74.0,1530000.0,1
 O. Alonso,77,77,5000000.0,10000.0,77.0,2505000.0,1
 Capa,77,82,8000000.0,20000.0,79.5,4010000.0,1
 S. Vrsaljko,79,83,11000000.0,50000.0,81.0,5525000.0,1
 M. Arnold,79,84,13500000.0,60000.0,81.5,6780000.0,1
 L. Perrin,82,82,14500000.0,50000.0,82.0,7275000.0,1
 Jaume Costa,79,79,8000000.0,40000.0,79.0,4020000.0,1
 C. Ansaldi,79,79,7500000.0,70000.0,79.0,3785000.0,1
 O. Şahiner,75,78,5000000.0,20000.0,76.5,2510000.0,1
 V. Ayala,73,73,2800000.0,40000.0,73.0,1420000.0,1
 Renato Neto,75,78,5000000.0,15000.0,76.5,2507500.0,1
 D. Pröpper,78,81,10500000.0,20000.0,79.5,5260000.0,1
 Giuliano,82,83,23500000.0,80000.0,82.5,11790000.0,2
 E. Belözoğlu,77,77,2400000.0,15000.0,77.0,1207500.0,1
 L. Bender,82,83,18500000.0,60000.0,82.5,9280000.0,2
 Willian,85,85,33000000.0,190000.0,85.0,16595000.0,2
 Márcio Azevedo,74,74,2400000.0,2000.0,74.0,1201000.0,1
 N. Bentaleb,79,85,14000000.0,30000.0,82.0,7015000.0,1
 Coutinho,86,89,50500000.0,180000.0,87.5,25340000.0,2
 K. El Ahmadi,79,79,8500000.0,30000.0,79.0,4265000.0,1
 Souza,78,79,8000000.0,50000.0,78.5,4025000.0,1
 A. Samedov,79,79,8500000.0,60000.0,79.0,4280000.0,1
 I. Gueye,82,83,19000000.0,100000.0,82.5,9550000.0,2
 U. Emanuelson,73,73,2000000.0,40000.0,73.0,1020000.0,1
 S. Widmer,77,82,8000000.0,20000.0,79.5,4010000.0,1
 Mário Rui,78,80,8500000.0,50000.0,79.0,4275000.0,1
 Alberto Moreno,76,79,5500000.0,80000.0,77.5,2790000.0,1
 Fernando,79,85,12000000.0,40000.0,82.0,6020000.0,1
 D. Cheryshev,79,80,11500000.0,40000.0,79.5,5770000.0,1
 Carvajal,84,87,30500000.0,170000.0,85.5,15335000.0,2
 J. Martin,76,77,6000000.0,30000.0,76.5,3015000.0,1
 M. Kovačić,81,87,23000000.0,140000.0,84.0,11570000.0,2
 K. Gameiro,83,83,23000000.0,80000.0,83.0,11540000.0,2
 J. Shelvey,77,82,9000000.0,40000.0,79.5,4520000.0,1
 M. Carrick,82,82,6000000.0,120000.0,82.0,3060000.0,1
 I. Piatti,80,80,12000000.0,15000.0,80.0,6007500.0,1
 M. Weiser,77,84,8500000.0,20000.0,80.5,4260000.0,1
 M. Fernández,78,78,7500000.0,50000.0,78.0,3775000.0,1
